name,name:ka,name:en,name:ru
დიმიტრი ჟღენტის ქუჩა,დიმიტრი ჟღენტის ქუჩა,Dimitri Zhghenti Street,улица Дмитрия Жгенти
დიმიტრი ჟღენტის შესახვევი,დიმიტრი ჟღენტის შესახვევი,Dimitri Zhghenti Lane,переулок Димитри Жгенти
დიმიტრი სვიშევსკის I შესახვევი,დიმიტრი სვიშევსკის I შესახვევი,Dimitri Svishevsky 1st Lane,1-й переулок Димитрия Свишевского
დიმიტრი სვიშევსკის I ჩიხი,დიმიტრი სვიშევსკის I ჩიხი,Dimitri Svishevsky 1st Dead End,1-й тупик Димитрия Свишевского
დიმიტრი სვიშევსკის ქუჩა,დიმიტრი სვიშევსკის ქუჩა,Dimitri Svishevsky Street,улица Димитрия Свишевского
დიმიტრი უზნაძის I შესახვევი,დიმიტრი უზნაძის I შესახვევი,Dimitri Uznadze 1st Lane,1-й переулок Димитри Узнадзе
დიმიტრი უზნაძის II შესახვევი,დიმიტრი უზნაძის II შესახვევი,Dimitri Uznadze 2nd Lane,2-й переулок Димитри Узнадзе
დიმიტრი უზნაძის ქუჩა,დიმიტრი უზნაძის ქუჩა,Dimitri Uznadze Street,улица Дмитрия Узнадзе
დიმიტრი ქააძის ქუჩა,დიმიტრი ქააძის ქუჩა,Dimitri Kaadze Street,улица Димитри Каадзе
დიმიტრი ყიფიანის ქუჩა,დიმიტრი ყიფიანის ქუჩა,Dimitri Kipiani Street,улица Дмитрия Кипиани
დიმიტრი ყიფიანის ჩიხი,დიმიტრი ყიფიანის ჩიხი,Dimitri Kipiani Dead End,тупик Дмитрия Кипиани
დიმიტრი ჩრდილელის ქუჩა,დიმიტრი ჩრდილელის ქუჩა,Dimitri Chrdileli Street,улица Димитри Чрдилели
დიოსკურიის I შესახვევი,დიოსკურიის I შესახვევი,Dioskurii 1st Lane,1-й переулок Диоскурии
დიოსკურიის ქუჩა,დიოსკურიის ქუჩა,Dioskurii Street,улица Диоскурии
დირსიჭალას ქუჩა,დირსიჭალას ქუჩა,Dirsichala Street,улица Дирсичала
დისევის I ჩიხი,დისევის I ჩიხი,Disevi 1st Dead End,1-й тупик Дисеви
დისევის ქუჩა,დისევის ქუჩა,Disevi Street,улица Дисеви
დიღმის ველის ქუჩა,დიღმის ველის ქუჩა,Dighmi Veli Street,улица Дигми Вели
დიღმის ქედის ქუჩა,დიღმის ქედის ქუჩა,Dighmi Kedi Street,улица Дигми Кеди
დიღმის წყლის ქუჩა,დიღმის წყლის ქუჩა,Dighmi Tsqali Street,улица Дигми Цкали
დიღმურას ქუჩა,დიღმურას ქუჩა,Dighmura Street,улица Дигмура
დიღომბარის ქუჩა,დიღომბარის ქუჩა,Dighombari Street,улица Дигомбари
დიღომბარის შესახვევი,დიღომბარის შესახვევი,Dighombari Lane,переулок Дигомбари
დმანისის ქუჩა,დმანისის ქუჩა,Dmanisi Street,улица Дманиси
დმანისის შესახვევი,დმანისის შესახვევი,Dmanisi Lane,переулок Дманиси
დოდო აბაშიძის I შესახვევი,დოდო აბაშიძის I შესახვევი,Dodo Abashidze 1st Lane,1-й переулок Додо Абашидзе
დოდო აბაშიძის II შესახვევი,დოდო აბაშიძის II შესახვევი,Dodo Abashidze 2nd Lane,2-й переулок Додо Абашидзе
დოდო აბაშიძის ქუჩა,დოდო აბაშიძის ქუჩა,Dodo Abashidze Street,улица Додо Абашидзе
დოდო და კოტე ხიმშიაშვილების ქუჩა,დოდო და კოტე ხიმშიაშვილების ქუჩა,Dodo and Kote Khimshiashvili Street,улица Додо и Коте Химшиашвили
დოდო ჭიჭინაძის ქუჩა,დოდო ჭიჭინაძის ქუჩა,Dodo Chichinadze Street,улица Додо Чичинадзе
დოლაბაურის I ხევი,დოლაბაურის I ხევი,Dolabauri 1st Gorge,1-й овраг Долабаури
დოლაბაურის II ჩიხი,დოლაბაურის II ჩიხი,Dolabauri 2nd Dead End,2-й тупик Долабаури
დოლაბაურის II ხევი,დოლაბაურის II ხევი,Dolabauri 2nd Gorge,2-й овраг Долабаури
დოლაბაურის III ხევი,დოლაბაურის III ხევი,Dolabauri 3rd Gorge,3-й овраг Долабаури
დოლაბაურის ხევი,დოლაბაურის ხევი,Dolabauri Gorge,овраг Долабаури
დომინიკა ერისთავის (განდეგილის) I შესახვევი,დომინიკა ერისთავის (განდეგილის) I შესახვევი,Dominika Eristavi (Gandegili) 1st Lane,1-й переулок Доминика Эристави (Гандегили)
დომინიკა ერისთავის (განდეგილის) ქუჩა,დომინიკა ერისთავის (განდეგილის) ქუჩა,Dominika Eristavi (Gandegili) Street,улица Доминика Эристави (Гандегили)
დონეცკელი მეტალურგების I გასასვლელი,დონეცკელი მეტალურგების I გასასვლელი,Donetskeli Metalurgebi 1st Exit,1-й съезд Донецкели Металургеби
დონეცკელი მეტალურგების II გასასვლელი,დონეცკელი მეტალურგების II გასასვლელი,Donetskeli Metalurgebi 2nd Exit,2-й съезд Донецкели Металургеби
დონეცკელი მეტალურგების III გასასვლელი,დონეცკელი მეტალურგების III გასასვლელი,Donetskeli Metalurgebi 3rd Exit,3-й съезд Донецкели Металургеби
დონეცკელი მეტალურგების ქუჩა,დონეცკელი მეტალურგების ქუჩა,Donetskeli Metalurgebi Street,улица Донецкели Металургеби
დოსითეოს ქუთათელის I ჩიხი,დოსითეოს ქუთათელის I ჩიხი,Dositeo Kutateli 1st Dead End,1-й тупик Доситео Кутатели
დოსითეოს ქუთათელის ქუჩა,დოსითეოს ქუთათელის ქუჩა,Dositeo Kutateli Street,улица Доситео Кутатели
დოქის შესახვევი,დოქის შესახვევი,Doki Lane,переулок Доки
დრანდის ქუჩა,დრანდის ქუჩა,Drandi Street,улица Дранди
დუდუ დადიანის ქუჩა,დუდუ დადიანის ქუჩა,Dudu Dadiani Street,улица Дуду Дадиани
დურმიშხან ბერუაშვილის ქუჩა,დურმიშხან ბერუაშვილის ქუჩა,Durmishkhan Beruashvili Street,улица Дурмишхана Беруашвили
დურსუნ ბალაძის ქუჩა,დურსუნ ბალაძის ქუჩა,Dursun Baladze Street,улица Дурсуна Баладзе
დუტუ მეგრელის ქუჩა,დუტუ მეგრელის ქუჩა,Dutu Megreli Street,улица Дуту Мегрели
დუტუ მეგრელის შესახვევი,დუტუ მეგრელის შესახვევი,Dutu Megreli Lane,переулок Дуту Мегрели
დუშეთის ქუჩა,დუშეთის ქუჩა,Dusheti Street,Душетская улица
დუშელების ქუჩა,დუშელების ქუჩა,Dushelebi Street,улица Душелеби
ეგნატე და ვახტანგ ფიფიების ქუჩა,ეგნატე და ვახტანგ ფიფიების ქუჩა,Egnate and Vakhtang Pipia Street,улица Эгнате и Вахтанга Пипия
ეგნატე ნინოშვილის I შესახვევი,ეგნატე ნინოშვილის I შესახვევი,Egnate Ninoshvili 1st Lane,1-й переулок Эгнате Ниношвили
ეგნატე ნინოშვილის II შესახვევი,ეგნატე ნინოშვილის II შესახვევი,Egnate Ninoshvili 2nd Lane,2-й переулок Эгнате Ниношвили
ეგნატე ნინოშვილის ქუჩა,ეგნატე ნინოშვილის ქუჩა,Egnate Ninoshvili Street,улица Эгнате Ниношвили
ეგნატე ნინოშვილის ჩიხი,ეგნატე ნინოშვილის ჩიხი,Egnate Ninoshvili Dead End,тупик Эгнате Ниношвили
ეგნატე ფიფიას I შესახვევი,ეგნატე ფიფიას I შესახვევი,Egnate Pipia 1st Lane,1-й переулок Эгнате Пипия
ეგნატე ფიფიას I ჩიხი,ეგნატე ფიფიას I ჩიხი,Egnate Pipia 1st Dead End,1-й тупик Эгнате Пипия
ეგნატე ფიფიას II შესახვევი,ეგნატე ფიფიას II შესახვევი,Egnate Pipia 2nd Lane,2-й переулок Эгнате Пипия
ეგნატე ფიფიას II ჩიხი,ეგნატე ფიფიას II ჩიხი,Egnate Pipia 2nd Dead End,2-й тупик Эгнате Пипия
ეგნატე ფიფიას III შესახვევი,ეგნატე ფიფიას III შესახვევი,Egnate Pipia 3rd Lane,3-й переулок Эгнате Пипия
ეგნატე ფიფიას ქუჩა,ეგნატე ფიფიას ქუჩა,Egnate Pipia Street,улица Эгнате Пипия
ეგრისის I შესახვევი,ეგრისის I შესახვევი,Egrisi 1st Lane,1-й переулок Эгриси
ეგრისის II შესახვევი,ეგრისის II შესახვევი,Egrisi 2nd Lane,2-й переулок Эгриси
ეგრისის ქუჩა,ეგრისის ქუჩა,Egrisi Street,улица Эгриси
ედისის ქუჩა,ედისის ქუჩა,Edisi Street,улица Эдиси
ედიშერ გარაყანიძის I შესახვევი,ედიშერ გარაყანიძის I შესახვევი,Edisher Garaqanidze 1st Lane,1-й переулок Эдишера Гараканидзе
ედიშერ გარაყანიძის II ჩიხი,ედიშერ გარაყანიძის II ჩიხი,Edisher Garaqanidze 2nd Dead End,2-й тупик Эдишера Гараканидзе
ედიშერ გარაყანიძის ქუჩა,ედიშერ გარაყანიძის ქუჩა,Edisher Garaqanidze Street,улица Эдишера Гараканидзе
ედიშერ მაღალაშვილის ქუჩა,ედიშერ მაღალაშვილის ქუჩა,Edisher Maghalashvili Street,улица Эдишера Магалашвили
ედიშერ ჩარგაზიას ქუჩა,ედიშერ ჩარგაზიას ქუჩა,Edisher Chargazia Street,улица Эдишера Чаргазия
ევგენი აფხაზავას I შესახვევი,ევგენი აფხაზავას I შესახვევი,Evgeni Apkhazava 1st Lane,1-й переулок Евгения Апхазава
ევგენი აფხაზავას II შესახვევი,ევგენი აფხაზავას II შესახვევი,Evgeni Apkhazava 2nd Lane,2-й переулок Евгения Апхазава
ევგენი აფხაზავას III შესახვევი,ევგენი აფხაზავას III შესახვევი,Evgeni Apkhazava 3rd Lane,3-й переулок Евгения Апхазава
ევგენი აფხაზავას IV შესახვევი,ევგენი აფხაზავას IV შესახვევი,Evgeni Apkhazava 4th Lane,4-й переулок Евгения Апхазава
ევგენი აფხაზავას V შესახვევი,ევგენი აფხაზავას V შესახვევი,Evgeni Apkhazava 5th Lane,5-й переулок Евгения Апхазава
ევგენი აფხაზავას VI შესახვევი,ევგენი აფხაზავას VI შესახვევი,Evgeni Apkhazava 6th Lane,6-й переулок Евгения Апхазава
ევგენი აფხაზავას ქუჩა,ევგენი აფხაზავას ქუჩა,Evgeni Apkhazava Street,улица Евгения Апхазава
ევგენი გეგეჭკორის I შესახვევი,ევგენი გეგეჭკორის I შესახვევი,Evgeni Gegechkor 1st Lane,1-й переулок Евгения Гегечкори
ევგენი გეგეჭკორის II შესახვევი,ევგენი გეგეჭკორის II შესახვევი,Evgeni Gegechkor 2nd Lane,2-й переулок Евгения Гегечкори
ევგენი გეგეჭკორის ქუჩა,ევგენი გეგეჭკორის ქუჩა,Evgeni Gegechkor Street,улица Евгения Гегечкори
ევგენი მიქელაძის I ჩიხი,ევგენი მიქელაძის I ჩიხი,Evgeni Mikeladze 1st Dead End,1-й тупик Евгения Микеладзе
ევგენი მიქელაძის II ჩიხი,ევგენი მიქელაძის II ჩიხი,Evgeni Mikeladze 2nd Dead End,2-й тупик Евгения Микеладзе
ევგენი მიქელაძის ქუჩა,ევგენი მიქელაძის ქუჩა,Evgeni Mikeladze Street,улица Евгения Микеладзе
ევგენი ღვალაძის ქუჩა,ევგენი ღვალაძის ქუჩა,Evgeni Ghvaladze Street,улица Эвгени Гваладзе
ევგენი ხარაძის ქუჩა,ევგენი ხარაძის ქუჩა,Evgeni Kharadze Street,улица Эвгени Харадзе
ევგენია მაისურაძის ქუჩა,ევგენია მაისურაძის ქუჩა,Evgenia Maisuradze Street,улица Евгении Маисурадзе
ევროპას ქუჩა,ევროპას ქუჩა,Evropa Street,улица Эвропа
ევროპის I ჩიხი,ევროპის I ჩიხი,Europe 1st Dead End,1-й тупик Европы
ევროპის მოედანი,ევროპის მოედანი,Europe Square,площадь Европы
ევროპის ქუჩა,ევროპის ქუჩა,Europe Street,улица Европы
ევსტათი მცხეთელის I შესახვევი,ევსტათი მცხეთელის I შესახვევი,Evstati Mtskheteli 1st Lane,1-й переулок Эвстати Мцхетели
ევსტათი მცხეთელის ქუჩა,ევსტათი მცხეთელის ქუჩა,Evstati Mtskheteli Street,улица Эвстати Мцхетели
ევტიხი ჟვანიას ქუჩა,ევტიხი ჟვანიას ქუჩა,Evtikhi Zhvania Street,улица Эвтихи Жвания
ეთერ ბოცვაძის ქუჩა,ეთერ ბოცვაძის ქუჩა,Eter Botsvadze Street,улица Этера Боцвадзе
ეთერ კაკულიას I შესახვევი,ეთერ კაკულიას I შესახვევი,Eter Kakulia 1st Lane,1-й переулок Этера Какулия
ეთერ კაკულიას ქუჩა,ეთერ კაკულიას ქუჩა,Eter Kakulia Street,улица Этера Какулия
ეკა ბეჟანიშვილის I გასასვლელი,ეკა ბეჟანიშვილის I გასასვლელი,Eka Bezhanishvili 1st Exit,1-й съезд Эки Бежанишвили
ეკა ბეჟანიშვილის I შესახვევი,ეკა ბეჟანიშვილის I შესახვევი,Eka Bezhanishvili 1st Lane,1-й переулок Эки Бежанишвили
ეკა ბეჟანიშვილის II გასასვლელი,ეკა ბეჟანიშვილის II გასასვლელი,Eka Bezhanishvili 2nd Exit,2-й съезд Эки Бежанишвили
ეკა ბეჟანიშვილის ქუჩა,ეკა ბეჟანიშვილის ქუჩა,Eka Bezhanishvili Street,улица Эки Бежанишвили
ეკატერინე ბაღდავაძის I შესახვევი,ეკატერინე ბაღდავაძის I შესახვევი,Ekaterine Baghdavadze 1st Lane,1-й переулок Екатерине Багдавадзе
ეკატერინე ბაღდავაძის I ჩიხი,ეკატერინე ბაღდავაძის I ჩიხი,Ekaterine Baghdavadze 1st Dead End,1-й тупик Екатерине Багдавадзе
ეკატერინე ბაღდავაძის II ჩიხი,ეკატერინე ბაღდავაძის II ჩიხი,Ekaterine Baghdavadze 2nd Dead End,2-й тупик Екатерине Багдавадзе
ეკატერინე ბაღდავაძის III ჩიხი,ეკატერინე ბაღდავაძის III ჩიხი,Ekaterine Baghdavadze 3rd Dead End,3-й тупик Екатерине Багдавадзе
ეკატერინე ბაღდავაძის IV ჩიხი,ეკატერინე ბაღდავაძის IV ჩიხი,Ekaterine Baghdavadze 4th Dead End,4-й тупик Екатерине Багдавадзе
ეკატერინე ბაღდავაძის V ჩიხი,ეკატერინე ბაღდავაძის V ჩიხი,Ekaterine Baghdavadze 5th Dead End,5-й тупик Екатерине Багдавадзе
ეკატერინე ბაღდავაძის ქუჩა,ეკატერინე ბაღდავაძის ქუჩა,Ekaterine Baghdavadze Street,улица Екатерины Багдавадзе
ეკატერინე გაბაშვილის ქუჩა,ეკატერინე გაბაშვილის ქუჩა,Ekaterine Gabashvili Street,улица Екатерины Габашвили
ეკატერინე გაბაშვილის I ჩიხი,ეკატერინე გაბაშვილის I ჩიხი,Ekaterine Gabashvili 1st Dead End,1-й тупик Екатерины Габашвили
ეკატერინე გაბაშვილის II ჩიხი,ეკატერინე გაბაშვილის III ჩიხი,Ekaterine Gabashvili 2nd Dead End,2-й тупик Екатерины Габашвили
ეკატერინე გაბაშვილის III ჩიხი,ეკატერინე გაბაშვილის III ჩიხი,Ekaterine Gabashvili 3rd Dead End,3-й тупик Екатерины Габашвили
ეკატერინე მელიქიშვილის ქუჩა,ეკატერინე მელიქიშვილის ქუჩა,Ekaterine Melikishvili Street,улица Экатерине Меликишвили
ეკატერინე ფორაქიშვილი-სარაჯიშვილის I შესახვევი,ეკატერინე ფორაქიშვილი-სარაჯიშვილის I შესახვევი,Ekaterine Porakishvili-Sarajishvili 1st Lane,1-й переулок Екатерине Поракишвили-Сараджишвили
ეკატერინე ფორაქიშვილი-სარაჯიშვილის ქუჩა,ეკატერინე ფორაქიშვილი-სარაჯიშვილის ქუჩა,Ekaterine Porakishvili-Sarajishvili Street,улица Екатерине Поракишвили-Сараджишвили
ეკატერინე ჩოლოყაშვილის I ჩიხი,ეკატერინე ჩოლოყაშვილის I ჩიხი,Ekaterine Choloqashvili 1st Dead End,1-й тупик Экатерине Чолокашвили
ეკატერინე ჩოლოყაშვილის ქუჩა,ეკატერინე ჩოლოყაშვილის ქუჩა,Ekaterine Choloqashvili Street,улица Экатерине Чолокашвили
ეკატერინე ჭავჭავაძის I შესახვევი,ეკატერინე ჭავჭავაძის I შესახვევი,Ekaterine Chavchavadze 1st Lane,1-й переулок Екатерине Чавчавадзе
ეკატერინე ჭავჭავაძის I ჩიხი,ეკატერინე ჭავჭავაძის I ჩიხი,Ekaterine Chavchavadze 1st Dead End,1-й тупик Екатерины Чавчавадзе
ეკატერინე ჭავჭავაძის ქუჩა,ეკატერინე ჭავჭავაძის ქუჩა,Ekaterine Chavchavadze Street,улица Екатерины Чавчавадзе
ეკატერინე ჯუღაშვილის ქუჩა,ეკატერინე ჯუღაშვილის ქუჩა,Ekaterine Jughashvili Street,улица Екатерины Джугашвили
ეკლესიის ქუჩა,ეკლესიის ქუჩა,Eklesi Street,улица Эклэси
ელადას ქუჩა,ელადას ქუჩა,Elada Street,улица Элада
ელგუჯა ამაშუკელის ქუჩა,ელგუჯა ამაშუკელის ქუჩა,Elguja Amashukeli Street,улица Элгуджи Амашукели
ელგუჯა ამაშუკელის შესახვევი,ელგუჯა ამაშუკელის შესახვევი,Elguja Amashukeli Lane,переулок Элгуджи Амашукели
ელდარის ქუჩა,ელდარის ქუჩა,Eldari Street,улица Элдари
ელენე ახვლედიანის აღმართი,ელენე ახვლედიანის აღმართი,Elene Achvlediani Rise,подъём Елены Ахвледиани
ელენე ახვლედიანის ქუჩა,ელენე ახვლედიანის ქუჩა,Elene Akhvlediani Street,улица Елены Ахвледиани
ელენე ახვლედიანის შესახვევი,ელენე ახვლედიანის შესახვევი,Elene Akhvlediani Lane,переулок Элене Ахвледиани
ელენე გოკიელის I შესახვევი,ელენე გოკიელის I შესახვევი,Elene Gokieli 1st Lane,1-й переулок Элене Гокиели
ელენე გოკიელის ქუჩა,ელენე გოკიელის ქუჩა,Elene Gokieli Street,улица Элене Гокиели
ელენე ვირსალაძის I ჩიხი,ელენე ვირსალაძის I ჩიხი,Elene Virsaladze 1st Dead End,1-й тупик Елены Вирсаладзе
ელენე ვირსალაძის ქუჩა,ელენე ვირსალაძის ქუჩა,Elene Virsaladze Street,улица Елены Вирсаладзе
ელენე ვირსელაძის ქუჩა,ელენე ვირსელაძის ქუჩა,Elene Virseladze Street,улица Элене Вирселадзе
ელენე მეტრეველის I შესახვევი,ელენე მეტრეველის I შესახვევი,Elene Metreveli 1st Lane,1-й переулок Элене Метревели
ელენე მეტრეველის II შესახვევი,ელენე მეტრეველის II შესახვევი,Elene Metreveli 2nd Lane,2-й переулок Элене Метревели
ელენე მეტრეველის III შესახვევი,ელენე მეტრეველის III შესახვევი,Elene Metreveli 3rd Lane,3-й переулок Элене Метревели
ელენე მეტრეველის ქუჩა,ელენე მეტრეველის ქუჩა,Elene Metreveli Street,улица Элене Метревели
ელეონორა ტერ-ფარსეგოვა-მახვილაძის I შესახვევი,ელეონორა ტერ-ფარსეგოვა-მახვილაძის I შესახვევი,Eleonora Ter-Parsegova-Makhviladze 1st Lane,1-й переулок Элеоноры Тер-Парсегова-Махвиладзе
ელეონორა ტერ-ფარსეგოვა-მახვილაძის ქუჩა,ელეონორა ტერ-ფარსეგოვა-მახვილაძის ქუჩა,Eleonora Ter-Parsegova-Makhviladze Street,улица Элеоноры Тер-Парсегова-Махвиладзе
ელეფთერ ანდრონიკაშვილის I შესახვევი,ელეფთერ ანდრონიკაშვილის I შესახვევი,Elephter Andronikashvili 1st Lane,1-й переулок Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის I ჩიხი,ელეფთერ ანდრონიკაშვილის I ჩიხი,Elephter Andronikashvili 1st Dead End,1-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის II შესახვევი,ელეფთერ ანდრონიკაშვილის II შესახვევი,Elephter Andronikashvili 2nd Lane,2-й переулок Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის II ჩიხი,ელეფთერ ანდრონიკაშვილის II ჩიხი,Elephter Andronikashvili 2nd Dead End,2-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის III შესახვევი,ელეფთერ ანდრონიკაშვილის III შესახვევი,Elephter Andronikashvili 3rd Lane,3-й переулок Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის III ჩიხი,ელეფთერ ანდრონიკაშვილის III ჩიხი,Elephter Andronikashvili 3rd Dead End,3-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის V ჩიხი,ელეფთერ ანდრონიკაშვილის V ჩიხი,Elephter Andronikashvili 5th Dead End,5-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის VI ჩიხი,ელეფთერ ანდრონიკაშვილის VI ჩიხი,Elephter Andronikashvili 6th Dead End,6-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის VII ჩიხი,ელეფთერ ანდრონიკაშვილის VII ჩიხი,Elephter Andronikashvili 7th Dead End,7-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის VIII ჩიხი,ელეფთერ ანდრონიკაშვილის VIII ჩიხი,Elephter Andronikashvili 8th Dead End,8-й тупик Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის ქუჩა,ელეფთერ ანდრონიკაშვილის ქუჩა,Elephter Andronikashvili Street,улица Элевтера Андроникашвили
ელეფთერ ანდრონიკაშვილის ჩიხი,ელეფთერ ანდრონიკაშვილის ჩიხი,Elephter Andronikashvili Dead End,тупик Элевтера Андроникашвили
ელვერ კუპატაძის ქუჩა,ელვერ კუპატაძის ქუჩა,Elver Kupatadze Street,улица Элвера Купатадзе
ელიას მთის ქუჩა,ელიას მთის ქუჩა,Elia Mta Street,улица Элия Мта
ელიზბარ და ვლადიმერ უბილავების ქუჩა,ელიზბარ და ვლადიმერ უბილავების ქუჩა,Elizbar and Vladimer Ubilava Street,улица Элизбара и Владимера Убилава
ელიზბარ ზედგინიძის ქუჩა,ელიზბარ ზედგინიძის ქუჩა,Elizbar Zedgenidze Street,улица Элизбара Зедгенидзе
ელიზბარ მინდელის ქუჩა,ელიზბარ მინდელის ქუჩა,Elizbar Mindeli Street,улица Элизбара Миндели
ელიოზიშვილის ქუჩა,ელიოზიშვილის ქუჩა,Eliozishvili Street,улица Элиозишвили
ელისაბედ ორბელიანის ქუჩა,ელისაბედ ორბელიანის ქუჩა,Elizabeth Orbeliani Street,улица Элисабет Орбелиани
ელისაბედ ჩერქეზიშვილის ქუჩა,ელისაბედ ჩერქეზიშვილის ქუჩა,Elisabed Cherkezishvili Street,улица Елизаветы Черкезишвили
ელისო ჭიპაშვილის I შესახვევი,ელისო ჭიპაშვილის I შესახვევი,Eliso Chipashvili 1st Lane,1-й переулок Элисо Чипашвили
ელისო ჭიპაშვილის ქუჩა,ელისო ჭიპაშვილის ქუჩა,Eliso Chipashvili Street,улица Элисо Чипашвили
ელო ანდრონიკაშვილის I შესახვევი,ელო ანდრონიკაშვილის I შესახვევი,Elo Andronikashvili 1st Lane,1-й переулок Эло Андроникашвили
ელო ანდრონიკაშვილის II შესახვევი,ელო ანდრონიკაშვილის II შესახვევი,Elo Andronikashvili 2nd Lane,2-й переулок Эло Андроникашвили
ელო ანდრონიკაშვილის ქუჩა,ელო ანდრონიკაშვილის ქუჩა,Elo Andronikashvili Street,улица Эло Андроникашвили
ემა ლალაევა-ედიბერიძის ქუჩა,ემა ლალაევა-ედიბერიძის ქუჩა,Ema Lalaeva-Ediberidze Street,улица Эмы Лалаева-Эдиберидзе
ემანუელ აფხაიძის I შესახვევი,ემანუელ აფხაიძის I შესახვევი,Emanuel Apkhaidze 1st Lane,1-й переулок Эмануела Апхаидзе
ემანუელ აფხაიძის ქუჩა,ემანუელ აფხაიძის ქუჩა,Emanuel Apkhaidze Street,улица Эмануела Апхаидзе
ემზარ გელანტიას I გასასვლელი,ემზარ გელანტიას I გასასვლელი,Emzar Gelantia 1st Exit,1-й съезд Эмзара Гелантия
ემზარ გელანტიას ქუჩა,ემზარ გელანტიას ქუჩა,Emzar Gelantia Street,улица Эмзара Гелантии
ემზარ ონიანის ქუჩა,ემზარ ონიანის ქუჩა,Emzar Oniani Street,улица Эмзара Ониани
ემზარ სულაქველიძის ქუჩა,ემზარ სულაქველიძის ქუჩა,Emzar Sulakvelidze Street,улица Эмзара Сулакверидзе
ემილ ვერჰარნის I ჩიხი,ემილ ვერჰარნის I ჩიხი,Emile Verhaeren 1st Dead End,1-й тупик Эмиля Верхарна
ემილ ვერჰარნის ქუჩა,ემილ ვერჰარნის ქუჩა,Emile Verhaeren Street,улица Эмиля Верхарна
ემილ ვერჰარნის შესახვევი,ემილ ვერჰარნის შესახვევი,Emile Verhaeren Lane,переулок Эмиля Верхарна
ემირ ბურჯანაძის I გასასვლელი,ემირ ბურჯანაძის I გასასვლელი,Emir Burjanadze 1st Exit,1-й съезд Эмира Бурджанадзе
ემირ ბურჯანაძის I შესახვევი,ემირ ბურჯანაძის I შესახვევი,Emir Burjanadze 1st Lane,1-й переулок Эмира Бурджанадзе
ემირ ბურჯანაძის I ჩიხი,ემირ ბურჯანაძის I ჩიხი,Emir Burjanadze 1st Dead End,1-й тупик Эмира Бурджанадзе
ემირ ბურჯანაძის II შესახვევი,ემირ ბურჯანაძის II შესახვევი,Emir Burjanadze 2nd Lane,2-й переулок Эмира Бурджанадзе
ემირ ბურჯანაძის II ჩიხი,ემირ ბურჯანაძის II ჩიხი,Emir Burjanadze 2nd Dead End,2-й тупик Эмира Бурджанадзе
ემირ ბურჯანაძის III შესახვევი,ემირ ბურჯანაძის III შესახვევი,Emir Burjanadze 3rd Lane,3-й переулок Эмира Бурджанадзе
ემირ ბურჯანაძის III ჩიხი,ემირ ბურჯანაძის III ჩიხი,Emir Burjanadze 3rd Dead End,3-й тупик Эмира Бурджанадзе
ემირ ბურჯანაძის IV შესახვევი,ემირ ბურჯანაძის IV შესახვევი,Emir Burjanadze 4th Lane,4-й переулок Эмира Бурджанадзе
ემირ ბურჯანაძის V შესახვევი,ემირ ბურჯანაძის V შესახვევი,Emir Burjanadze 5th Lane,5-й переулок Эмира Бурджанадзе
ემირ ბურჯანაძის ქუჩა,ემირ ბურჯანაძის ქუჩა,Emir Burjanadze Street,улица Эмира Бурджанадзе
ენგურის I შესახვევი,ენგურის I შესახვევი,Enguri 1st Lane,1-й переулок Энгури
ენგურის ქუჩა,ენგურის ქუჩა,Enguri Street,улица Энгури
ენგურჰესის ქუჩა,ენგურჰესის ქუჩა,Engurhesi Street,улица Энгурхеси
ენვერ ხაბაძის ქუჩა,ენვერ ხაბაძის ქუჩა,Enver Khabadze Street,улица Энвера Хабадзе
ენისელის ქუჩა,ენისელის ქუჩა,Eniseli Street,улица Енисели
ერედვის ქუჩა,ერედვის ქუჩა,Eredvi Street,улица Эредви
ერევნის I შესახვევი,ერევნის I შესახვევი,Erevani 1st Lane,1-й переулок Еревани
ერევნის ქუჩა,ერევნის ქუჩა,Erivan Street,улица Еревана
ერეკლე I ჩიხი,ერეკლე I ჩიხი,Erekle Pirveli Dead End,тупик Эрекле Пирвели
ერეკლე II შესახვევი,ერეკლე II შესახვევი,Erekle Meori 2nd Lane,2-ой переулок Эрекле Меори
ერეკლე დანელიას ქუჩა,ერეკლე დანელიას ქუჩა,Erekle Danelia Street,улица Эрекле Данелии
ერეკლე მეორეს I შესახვევი,ერეკლე მეორეს I შესახვევი,Erekle Meore 1st Lane,1-й переулок Эрекле Меоре
ერეკლე მეორეს I ჩიხი,ერეკლე მეორეს I ჩიხი,Erekle Meore 1st Dead End,1-й тупик Эрекле Меоре
ერეკლე მეორეს II შესახვევი,ერეკლე მეორეს II შესახვევი,Erekle Meore 2nd Lane,2-й переулок Эрекле Меоре
